X	Y	R	G	B
0.0	0.0	2	3	3
0.0	0.01	3	4	3
0.0	0.02	3	4	3
0.0	0.03	3	6	3
0.0	0.04	3	9	3
0.0	0.05	3	12	3
0.0	0.06	3	13	3
0.0	0.07	3	16	3
0.0	0.08	3	19	2
0.0	0.09	3	22	2
0.0	0.1	3	27	2
0.0	0.11	2	31	2
0.0	0.12	2	32	2
0.0	0.13	2	35	2
0.0	0.14	2	38	2
0.0	0.15	2	40	2
0.0	0.16	2	42	2
0.0	0.17	2	45	2
0.0	0.18	2	48	2
0.0	0.19	2	49	2
0.0	0.2	2	52	2
0.0	0.21	2	55	3
0.0	0.22	2	56	3
0.0	0.23	2	59	3
0.0	0.24	3	62	3
0.0	0.25	3	65	3
0.0	0.26	3	66	3
0.0	0.27	3	69	3
0.0	0.28	2	72	3
0.0	0.29	2	73	3
0.0	0.3	2	76	3
0.0	0.31	2	79	4
0.0	0.32	2	80	4
0.0	0.33	3	83	3
0.0	0.34	3	86	3
0.0	0.35	3	87	3
0.0	0.36	2	90	2
0.0	0.37	2	94	2
0.0	0.38	2	98	1
0.0	0.39	2	100	1
0.0	0.4	2	103	1
0.0	0.41	2	106	1
0.0	0.42	2	108	1
0.0	0.43	2	112	2
0.0	0.44	2	115	2
0.0	0.45	2	118	2
0.0	0.46	2	119	2
0.0	0.47	2	122	3
0.0	0.48	2	125	3
0.0	0.49	2	126	3
0.0	0.5	2	129	3
0.0	0.51	2	132	3
0.0	0.52	2	133	3
0.0	0.53	2	136	3
0.0	0.54	2	139	2
0.0	0.55	2	142	2
0.0	0.56	2	144	2
0.0	0.57	2	147	1
0.0	0.58	2	150	1
0.0	0.59	2	151	0
0.0	0.6	2	154	0
0.0	0.61	2	157	0
0.0	0.62	2	158	0
0.0	0.63	2	161	0
0.0	0.64	2	164	0
0.0	0.65	2	167	0
0.0	0.66	2	168	0
0.0	0.67	2	171	1
0.0	0.68	2	174	1
0.0	0.69	2	175	1
0.0	0.7	2	178	1
0.0	0.71	2	181	1
0.0	0.72	3	182	1
0.0	0.73	3	185	1
0.0	0.74	3	189	2
0.0	0.75	3	192	2
0.0	0.76	3	194	3
0.0	0.77	4	198	3
0.0	0.78	4	200	4
0.0	0.79	4	202	4
0.0	0.8	4	205	4
0.0	0.81	4	207	3
0.0	0.82	4	209	3
0.0	0.83	4	212	3
0.0	0.84	4	215	2
0.0	0.85	3	219	2
0.0	0.86	3	221	1
0.0	0.87	2	224	1
0.0	0.88	2	227	1
0.0	0.89	2	228	0
0.0	0.9	2	231	0
0.0	0.91	2	234	0
0.0	0.92	2	235	0
0.0	0.93	2	238	0
0.0	0.94	2	241	1
0.0	0.95	2	244	2
0.0	0.96	2	245	2
0.0	0.97	2	248	3
0.0	0.98	2	250	4
0.0	0.99	2	250	5
0.0	1.0	2	250	5
0.01	0.0	3	3	3
0.01	0.01	3	4	3
0.01	0.02	4	4	3
0.01	0.03	4	6	3
0.01	0.04	4	9	3
0.01	0.05	4	12	3
0.01	0.06	4	13	3
0.01	0.07	4	16	2
0.01	0.08	4	19	2
0.01	0.09	4	22	2
0.01	0.1	4	27	2
0.01	0.11	3	31	2
0.01	0.12	3	32	2
0.01	0.13	3	35	2
0.01	0.14	3	38	2
0.01	0.15	3	40	2
0.01	0.16	3	42	2
0.01	0.17	3	45	2
0.01	0.18	3	48	2
0.01	0.19	3	49	2
0.01	0.2	3	52	2
0.01	0.21	3	55	3
0.01	0.22	3	56	3
0.01	0.23	3	59	2
0.01	0.24	3	62	2
0.01	0.25	4	65	2
0.01	0.26	4	66	3
0.01	0.27	3	69	3
0.01	0.28	3	72	3
0.01	0.29	3	73	3
0.01	0.3	3	76	3
0.01	0.31	3	79	3
0.01	0.32	3	80	3
0.01	0.33	4	83	3
0.01	0.34	4	86	3
0.01	0.35	3	87	3
0.01	0.36	3	90	2
0.01	0.37	3	94	2
0.01	0.38	3	98	1
0.01	0.39	2	100	1
0.01	0.4	2	103	1
0.01	0.41	2	106	1
0.01	0.42	2	108	1
0.01	0.43	3	112	1
0.01	0.44	3	115	2
0.01	0.45	3	118	2
0.01	0.46	3	119	2
0.01	0.47	3	122	3
0.01	0.48	3	125	3
0.01	0.49	3	126	3
0.01	0.5	3	129	3
0.01	0.51	3	132	3
0.01	0.52	3	133	3
0.01	0.53	3	136	3
0.01	0.54	3	139	2
0.01	0.55	3	142	2
0.01	0.56	3	144	2
0.01	0.57	3	147	1
0.01	0.58	3	150	1
0.01	0.59	3	151	0
0.01	0.6	3	154	0
0.01	0.61	3	157	0
0.01	0.62	3	158	0
0.01	0.63	3	161	0
0.01	0.64	3	164	0
0.01	0.65	3	167	0
0.01	0.66	3	168	0
0.01	0.67	3	171	0
0.01	0.68	3	174	1
0.01	0.69	3	175	1
0.01	0.7	3	178	1
0.01	0.71	3	181	1
0.01	0.72	3	183	1
0.01	0.73	4	185	1
0.01	0.74	4	189	2
0.01	0.75	4	192	2
0.01	0.76	4	194	3
0.01	0.77	5	198	3
0.01	0.78	5	200	4
0.01	0.79	5	202	4
0.01	0.8	5	205	4
0.01	0.81	5	207	3
0.01	0.82	5	209	3
0.01	0.83	5	212	3
0.01	0.84	4	216	2
0.01	0.85	4	219	1
0.01	0.86	4	221	1
0.01	0.87	3	224	1
0.01	0.88	3	227	1
0.01	0.89	3	229	0
0.01	0.9	3	231	0
0.01	0.91	3	234	0
0.01	0.92	3	235	0
0.01	0.93	3	238	0
0.01	0.94	3	241	1
0.01	0.95	3	244	2
0.01	0.96	3	245	2
0.01	0.97	3	248	3
0.01	0.98	3	250	4
0.01	0.99	3	250	5
0.01	1.0	3	250	5
0.02	0.0	4	3	3
0.02	0.01	4	4	3
0.02	0.02	5	4	3
0.02	0.03	5	6	3
0.02	0.04	5	9	3
0.02	0.05	5	12	3
0.02	0.06	5	13	2
0.02	0.07	5	16	2
0.02	0.08	5	19	2
0.02	0.09	5	22	2
0.02	0.1	4	27	2
0.02	0.11	4	31	2
0.02	0.12	4	32	2
0.02	0.13	4	35	2
0.02	0.14	4	38	2
0.02	0.15	4	40	1
0.02	0.16	4	42	1
0.02	0.17	4	45	2
0.02	0.18	4	48	2
0.02	0.19	4	49	2
0.02	0.2	4	52	2
0.02	0.21	4	55	2
0.02	0.22	4	56	2
0.02	0.23	4	59	2
0.02	0.24	4	62	2
0.02	0.25	5	65	2
0.02	0.26	5	66	2
0.02	0.27	4	69	3
0.02	0.28	4	72	3
0.02	0.29	4	73	3
0.02	0.3	4	76	3
0.02	0.31	4	79	3
0.02	0.32	4	80	3
0.02	0.33	4	83	3
0.02	0.34	5	86	3
0.02	0.35	4	88	3
0.02	0.36	4	91	2
0.02	0.37	4	94	2
0.02	0.38	3	98	1
0.02	0.39	3	100	1
0.02	0.4	3	103	1
0.02	0.41	3	106	1
0.02	0.42	3	108	1
0.02	0.43	4	112	1
0.02	0.44	4	115	2
0.02	0.45	4	118	2
0.02	0.46	4	119	2
0.02	0.47	4	122	3
0.02	0.48	4	125	3
0.02	0.49	4	126	3
0.02	0.5	4	129	3
0.02	0.51	4	132	3
0.02	0.52	4	133	3
0.02	0.53	4	136	3
0.02	0.54	4	139	2
0.02	0.55	4	142	2
0.02	0.56	4	144	2
0.02	0.57	4	147	1
0.02	0.58	4	150	1
